"V1","plist","pstarts","ncases","Spopsize","Vpopsize","N","coverage"
"Endulen",2,23,2,1156.0720497946,48.6905153117152,1204.76256510631,0.0404150300830593
"Meshili",1,23,2,643.11197263574,27.0860742255048,670.198046861245,0.0404150300830593
"Arash",10,17,11,749.260419609191,49.9937950972888,799.25421470648,0.0625505554770814
"Arash",3,50,3,702.928744680157,155.58000407452,858.508748754678,0.181221221449635
"Malambo",5,20,5,890.644280745987,47.2107643210729,937.85504506706,0.0503390844559536
"Malambo",3,35,2,840.112790812839,128.775019414491,968.887810227331,0.132910145070642
"Mgongo",2,25,2,255.496052619716,9.25002749213636,264.746080111853,0.0349392424931403
"Oloipiri",10,17,23,223.17803400604,14.8913736937197,238.069407699759,0.0625505554770813
"Oloipiri",8,30,6,147.594807771747,97.268284418089,244.863092189835,0.397235383855561
"Ololosokwan",1,28,2,201.039463098752,288.691319267612,489.730782366364,0.589489837401408
"Pinyinyi",1,14,2,372.951363786148,31.5117480777909,404.463111863939,0.0779100668354434
"Pinyinyi",6,20,4,389.142603053038,20.6274492714847,409.770052324523,0.0503390844559536
"Piyaya",4,18,5,470.805381790928,29.1092191213615,499.914600912289,0.05822838354439
"Piyaya",3,24,5,487.419191065326,19.0547645683169,506.473955633643,0.0376223976699407
"Sale",5,19,5,409.486268950741,23.4090984194852,432.895367370226,0.0540756501084592
"Samunge",2,35,2,141.238507391298,59.8543272972769,201.092834688575,0.297645251209329
"Soitsambu",2,2,2,972.292185501473,223.087967393951,1195.38015289542,0.186625122437906
"Soitsambu",3,15,2,1140.69642241721,88.9709531282675,1229.66737554547,0.0723536745770785
"Soitsambu",1,22,4,1194.13523509806,54.3316531593325,1248.4668882574,0.043518697748699
"Soitsambu",2,27,3,914.095574008423,347.962407419392,1262.05798142782,0.275710318020198
