"V1","plist","pstarts","ncases","Spopsize","Vpopsize","N","coverage"
"Bisarara",2,27,2,194.106430523796,98.366017396679,292.472447920475,0.336325756822829
"Bisarara",2,53,3,197.150042161032,112.274938209716,309.424980370748,0.362850271736916
"Bonchugu",11,18,14,640.809600455661,39.6203352726741,680.429935728335,0.0582283835443899
"Bonchugu",8,33,10,458.039231608716,244.855437476609,702.894669085325,0.348352958481303
"Bonchugu",3,51,7,457.378866371148,273.496294681166,730.875161052314,0.374203843905964
"Kibeyo",5,17,21,224.590514599719,14.9856203181659,239.576134917885,0.0625505554770814
"Kibeyo",3,39,3,160.721747599635,90.5477485030027,251.269496102638,0.360361086034956
"Kisangura",8,18,10,451.207300295641,27.8974979502175,479.104798245859,0.05822838354439
"Kitunguruma",1,34,2,112.392427966212,230.869588686315,343.262016652527,0.67257540154819
"Koreri",3,13,2,312.758895296734,28.5666135756555,341.325508872389,0.0836931692273126
"Koreri",2,18,3,324.950060826253,20.0911945570997,345.041255383352,0.0582283835443901
"Kyambahi",3,23,6,54.9955206247437,60.5475075597517,115.543028184495,0.524025625008472
"Kyambahi",2,47,2,19.0976064729161,102.612616662602,121.710223135519,0.843089545143206
"Kyambahi",3,51,2,45.4126055922074,77.3599387182283,122.772544310436,0.630107807512894
"Machochwe",15,20,23,391.353187149699,20.7446266531347,412.097813802833,0.0503390844559536
"Machochwe",4,37,4,247.580182512298,179.977039133119,427.557221645416,0.420942578026148
"Machochwe",5,43,6,315.355014386964,117.812164389792,433.167178776756,0.271978511212434
"Machochwe",3,54,4,237.441989612348,206.154582711284,443.596572323632,0.464734390600477
"Makundusi",2,44,2,323.8672760357,36.0121024665516,359.879378502252,0.100067146432305
"Marasomoche",2,48,2,67.7230497638065,116.0503389881,183.773388751907,0.631486091518765
"Marasomoche",2,59,2,75.8354265513949,112.376092103895,188.21151865529,0.597073403938216
"Mbalibali",1,18,2,352.510212580249,21.7951990724544,374.305411652703,0.05822838354439
"Mbalibali",2,48,2,260.186899679818,139.270725635145,399.457625314963,0.348649560827217
"Merenga",6,20,10,414.44273287839,21.9685441309013,436.411277009291,0.0503390844559536
"Merenga",3,28,5,357.519752920368,86.511382276267,444.031135196635,0.194831793130804
